,companyid,excess_ret,ret,post,aum_x,firm_scope,TREATED_x,firm_age,year_dum_1994,year_dum_1995,year_dum_1996,year_dum_1997,year_dum_1998,year_dum_1999,year_dum_2000,year_dum_2001,year_dum_2002,year_dum_2003,year_dum_2004,year_dum_2005,year_dum_2006,year_dum_2007,year_dum_2008,year_dum_2009,year_dum_2010,year_dum_2011,sz_q_0,sz_q_1,sz_q_2,sz_q_3,sz_q_4,sz_q_5,sz_q_6,sz_q_7,sz_q_8,sz_q_9,log_firmscope,log_firmage,stdv_firm,firm_ir,TREATED_y,missing_aum,int1c,first30,second30,div_corr,fund_closedxcrisis,firmscope,intheset,scope_q1,scope_q2,scope_q3,scope_q4,aum_y,log_age,age,ir,all_close_treat,TREATED,ALL_TREAT,time_treat,int2,int3,max_treated,first24,next36,Tx24,Txn36,max_int1c,max_int2,Tx24xrelated,Txn36xrelated,triple_int,int1c_max,int2_max,triple_int_max,max_firmscope
count,94376.0,94311.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94311.0,94376.0,94376.0,94376.0,94376.0,94376.0,2681.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94311.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0,94376.0
mean,9819.56286555904,62.22310411849828,0.011161957478596253,0.2668686954310418,667853973.13229,2.3701576672035265,0.011782656607612105,70.69813299991523,0.00861447825718403,0.011093922183606001,0.01381707213698398,0.01722895651436806,0.02198652199711791,0.02627786725438671,0.0334830889209121,0.04289226074425701,0.05517292531999661,0.06704034924133254,0.0849580401797067,0.10730482326015088,0.13469526150716285,0.10856573705179283,0.0,0.05940069509197254,0.13967534118843775,0.06779265915063151,0.09429304060354328,0.09303212681190133,0.09656056624565568,0.093689073493261,0.09805459015003815,0.10013138933627193,0.10293930660337373,0.10548232601508858,0.11064253623802661,0.10517504450283971,0.5473716625030595,3.9310163467057766,42.07189821376688,inf,0.011782656607612105,0.0,0.0030935802467278706,0.011782656607612105,0.0,0.4762997639947179,0.0,2.3701576672035265,1.0,0.5295520047469696,0.7405908281766551,0.30337161990336525,0.16707637534966516,667853973.13229,3.6701063612002702,59.17710011019751,1.1285864859636183,0.024953377977451896,0.011782656607612105,0.013446215139442231,-46.23324785962533,0.1381601254556243,0.13237475629397305,0.011782656607612105,0.2668686954310418,0.0,0.011782656607612105,0.0,0.0030935802467278706,0.2645375943036365,0.0030935802467278706,0.0,0.03638618721640829,0.0030935802467278706,0.1381601254556243,0.03638618721640829,3.560428498770874
std,13220.404055836367,76.27276971973545,0.03661780301133404,0.4423255225964132,1577202578.9967246,2.7126603584761866,0.10790713131761272,49.913197141228764,0.09241406556619776,0.10474236641189631,0.1167317653327487,0.13012416756706868,0.146640181038816,0.1599612830378175,0.17989528783575415,0.2026152751052847,0.22831869391405266,0.25009318973832506,0.2788207225540726,0.30950204064597475,0.3413995943578093,0.31109523182677357,0.0,0.236374373692475,0.34665171791874605,0.25139109799474296,0.2700374806385212,0.2617615199873056,0.26099382926806913,0.2522005667071586,0.25429872928308983,0.2565090409723439,0.25859475204654214,0.2567508012318207,0.26376398117133343,0.26558503520079096,0.6979665014520602,0.9631416120232735,28.783562202645037,,0.10790713131761272,0.0,0.04110616864967037,0.10790713131761272,0.0,0.22480472065761092,0.0,2.7126603584761866,0.0,0.49912855935902267,0.43831277538301117,0.4597167818081225,0.37304602224434713,1781256613.048586,1.0731664965325225,45.31729607953502,1.6929876819100869,0.16871104008014834,0.10790713131761272,0.11808344801008405,48.14423632739911,1.4519063700081354,2.1373233050706633,0.10790713131761272,0.4423255225964132,0.0,0.10790713131761272,0.0,0.04110616864967037,2.4307773905346504,0.04110616864967037,0.0,0.5528588098565896,0.04110616864967037,1.4519063700081354,0.5528588098565896,4.374865448852077
min,29.0,-206.02503616382575,-0.45089199999999996,0.0,1000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,-4335.927909680256,0.0,0.0,0.0,0.0,0.0,0.0303556296173362,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1.0,-4.312557681836246,0.0,0.0,0.0,-186.0,0.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,1470.0,-4.81029102522748,-0.0031195,0.0,61696219.25,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4339872044851463,14.04659012079704,-0.1850530565143283,0.0,0.0,0.0,0.0,0.0,0.3312869329660703,0.0,1.0,1.0,0.0,0.0,0.0,0.0,48512680.5,3.091042453358316,22.0,-0.1389815682620832,0.0,0.0,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,5071.0,28.63108052291087,0.008875000000000001,0.0,238114096.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.143134726391533,42.34165879451271,1.3753862691361896,0.0,0.0,0.0,0.0,0.0,0.4851409593703958,0.0,1.0,1.0,1.0,1.0,0.0,0.0,186000000.0,3.9318256327243257,51.0,0.6181354688990448,0.0,0.0,0.0,-42.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
75%,12038.0,128.73140025668815,0.024399,1.0,676000000.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,4.6443908991413725,63.34491638812417,2.36971605118299,0.0,0.0,0.0,0.0,0.0,0.6486657273721244,0.0,3.0000000000000004,1.0,1.0,1.0,1.0,0.0,603000000.0,4.430816798843313,84.0,2.120997205523108,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
max,96683.0,213.13004837135188,0.7762990000000001,1.0,59726000000.0,29.0,1.0,210.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.367295829986474,5.351858133476067,136.19561626448427,inf,1.0,0.0,0.8230742419562105,1.0,0.0,0.9632293298441482,0.0,29.000000000000004,1.0,1.0,1.0,1.0,1.0,59726000000.0,5.3471075307174685,210.0,7.766861950781649,2.0,1.0,2.0,23.0,23.0,46.0,1.0,1.0,0.0,1.0,0.0,0.8230742419562105,23.0,0.8230742419562105,0.0,18.93070756499284,0.8230742419562105,23.0,18.93070756499284,29.000000000000004
