Mkt-RF,SMB,HML,RF,year,month
-2.06,-0.72,-0.72,0.24,1957,2
2.13,0.26,-0.48,0.23,1957,3
4.26,-1.59,-1.45,0.25,1957,4
3.45,-1.05,-2.1,0.26,1957,5
-0.74,0.54,0.01,0.24,1957,6
0.66,-0.76,0.43,0.3,1957,7
-5.11,0.05,-0.41,0.25,1957,8
-5.98,0.08,0.92,0.26,1957,9
-4.32,-2.52,-1.8,0.29,1957,10
2.3,0.4,-2.87,0.28,1957,11
-3.91,-0.98,-1.62,0.24,1957,12
4.66,4.39,4.19,0.28,1958,1
-1.52,0.65,0.33,0.12,1958,2
3.27,0.65,-0.97,0.09,1958,3
3.09,-0.62,1.61,0.08,1958,4
2.31,2.16,-0.26,0.11,1958,5
2.93,-0.19,0.4,0.03,1958,6
4.39,0.47,3.06,0.07,1958,7
1.91,1.18,0.36,0.04,1958,8
4.66,0.12,2.85,0.19,1958,9
2.53,1.09,-1.18,0.18,1958,10
3.01,1.97,-1.18,0.11,1958,11
5.15,-2.03,0.03,0.22,1958,12
0.71,3.02,2.91,0.21,1959,1
0.95,1.46,1.16,0.19,1959,2
0.28,1.49,-0.34,0.22,1959,3
3.66,-0.6,-1.23,0.2,1959,4
1.73,-2.16,1.79,0.22,1959,5
-0.25,0.67,1.31,0.25,1959,6
3.17,-0.3,0.23,0.25,1959,7
-1.39,-0.76,0.44,0.19,1959,8
-4.8,-0.09,0.55,0.31,1959,9
1.28,1.44,-2.1,0.3,1959,10
1.6,1.23,-3.21,0.26,1959,11
2.45,-0.58,-0.07,0.34,1959,12
-6.98,2.09,2.78,0.33,1960,1
1.17,0.51,-1.93,0.29,1960,2
-1.63,-0.49,-2.94,0.35,1960,3
-1.71,0.32,-2.28,0.19,1960,4
3.12,1.21,-3.7,0.27,1960,5
2.08,-0.21,-0.34,0.24,1960,6
-2.37,-0.51,1.98,0.13,1960,7
3.01,0.87,-0.18,0.17,1960,8
-5.99,-1.11,1.62,0.16,1960,9
-0.71,-4.08,2.83,0.22,1960,10
4.69,0.4,-2.43,0.13,1960,11
4.71,-1.55,-0.81,0.16,1960,12
6.2,0.64,3.72,0.19,1961,1
3.57,3.93,-0.66,0.14,1961,2
2.89,3.3,-0.73,0.2,1961,3
0.29,0.07,2.12,0.17,1961,4
2.4,2.01,0.37,0.18,1961,5
-3.08,-2.49,-0.14,0.2,1961,6
2.83,-1.9,-0.09,0.18,1961,7
2.57,-1.75,-0.28,0.14,1961,8
-2.15,-1.07,-0.61,0.17,1961,9
2.57,-1.65,0.15,0.19,1961,10
4.45,1.26,-1.23,0.15,1961,11
-0.18,-0.85,1.79,0.19,1961,12
-3.87,1.77,5.13,0.24,1962,1
1.81,-1.15,0.82,0.2,1962,2
-0.68,0.52,-1.38,0.2,1962,3
-6.59,-0.7,0.03,0.22,1962,4
-8.65,-3.34,2.77,0.24,1962,5
-8.47,-0.59,2.55,0.2,1962,6
6.28,1.52,-3.41,0.27,1962,7
2.13,1.22,-1.2,0.23,1962,8
-5.22,-2.42,1.28,0.21,1962,9
-0.05,-3.97,1.3,0.25,1962,10
10.87,2.61,0.95,0.2,1962,11
1.01,-3.8,0.36,0.23,1962,12
4.93,3.08,2.21,0.25,1963,1
-2.38,0.48,2.18,0.23,1963,2
3.08,-2.59,2.06,0.23,1963,3
4.51,-1.34,1,0.25,1963,4
1.76,1.13,2.54,0.24,1963,5
-2,-0.27,0.75,0.23,1963,6
-0.39,-0.45,-0.97,0.27,1963,7
5.07,-0.98,1.8,0.25,1963,8
-1.57,-0.33,0.13,0.27,1963,9
2.53,-0.58,-0.1,0.29,1963,10
-0.85,-1.17,1.75,0.27,1963,11
1.83,-2.16,-0.02,0.29,1963,12
2.24,-0.11,1.48,0.3,1964,1
1.54,0.11,2.81,0.26,1964,2
1.41,0.87,3.4,0.31,1964,3
0.1,-1.35,-0.67,0.29,1964,4
1.42,-0.86,1.86,0.26,1964,5
1.27,-0.12,0.62,0.3,1964,6
1.74,0.24,0.75,0.3,1964,7
-1.44,0.16,0.08,0.28,1964,8
2.69,-0.54,1.7,0.28,1964,9
0.59,0.42,1.17,0.29,1964,10
0,0.69,-1.96,0.29,1964,11
0.03,-0.35,-2.48,0.31,1964,12
3.54,2.7,0.12,0.28,1965,1
0.44,3.55,0.11,0.3,1965,2
-1.34,1.89,1.03,0.36,1965,3
3.11,1.1,0.66,0.31,1965,4
-0.77,0.11,-1.61,0.31,1965,5
-5.51,-4.34,0.59,0.35,1965,6
1.43,0.89,2.2,0.31,1965,7
2.73,2.84,-1,0.33,1965,8
2.86,0.64,-0.13,0.31,1965,9
2.6,2.52,1.56,0.31,1965,10
-0.03,4.68,0.15,0.35,1965,11
1.01,2.06,2.03,0.33,1965,12
0.72,3.84,3.56,0.38,1966,1
-1.21,4.4,0.33,0.35,1966,2
-2.51,0.99,-1.98,0.38,1966,3
2.14,3.43,-0.46,0.34,1966,4
-5.66,-4.6,-1.63,0.41,1966,5
-1.44,1.03,0.5,0.38,1966,6
-1.63,-0.36,0.95,0.35,1966,7
-7.91,-3.27,0.43,0.41,1966,8
-1.06,-1.04,0.56,0.4,1966,9
3.86,-6.52,2.69,0.45,1966,10
1.4,4.24,-4.69,0.4,1966,11
0.13,1.97,-1.19,0.4,1966,12
8.15,8.32,2.27,0.43,1967,1
0.78,3.35,-2.22,0.36,1967,2
3.99,1.55,0.37,0.39,1967,3
3.89,0.63,-2.48,0.32,1967,4
-4.33,1.9,1.09,0.33,1967,5
2.41,5.93,0.85,0.27,1967,6
4.58,3.12,2.73,0.31,1967,7
-0.89,0.42,1.44,0.31,1967,8
3.11,3.06,-2.5,0.32,1967,9
-3.09,1.46,-3.3,0.39,1967,10
0.37,0.21,-1.7,0.36,1967,11
3.05,5.73,-0.53,0.33,1967,12
-4.06,3.92,4.8,0.4,1968,1
-3.75,-2.94,1.28,0.39,1968,2
0.2,-1.34,-0.59,0.38,1968,3
9.05,5.68,-1.13,0.43,1968,4
2.28,6.4,0.85,0.45,1968,5
0.69,-0.19,0.73,0.43,1968,6
-2.72,-1.36,5.39,0.48,1968,7
1.34,2.34,1.01,0.42,1968,8
4.03,2.8,0.3,0.43,1968,9
0.42,-0.48,2.86,0.44,1968,10
5.43,2.34,-0.92,0.42,1968,11
-3.94,3.37,-0.01,0.43,1968,12
-1.25,-0.74,1.67,0.53,1969,1
-5.84,-3.92,0.91,0.46,1969,2
2.64,-0.3,-0.51,0.46,1969,3
1.46,-0.86,-0.03,0.53,1969,4
-0.1,-0.21,0.7,0.48,1969,5
-7.18,-5.37,-1.08,0.51,1969,6
-7,-3.24,1.2,0.53,1969,7
4.68,0.93,-3.79,0.5,1969,8
-2.98,1.18,-3.27,0.62,1969,9
5.06,3.91,-3.16,0.6,1969,10
-3.79,-2.58,-1.19,0.52,1969,11
-2.63,-3.71,-2.86,0.64,1969,12
-8.1,2.93,3.13,0.6,1970,1
5.13,-2.58,3.93,0.62,1970,2
-1.06,-2.32,3.99,0.57,1970,3
-11,-6.15,6.18,0.5,1970,4
-6.92,-4.59,3.33,0.53,1970,5
-5.79,-2.13,0.6,0.58,1970,6
6.93,-0.5,0.9,0.52,1970,7
4.49,1.52,1.15,0.53,1970,8
4.18,8.59,-5.47,0.54,1970,9
-2.28,-4.21,0.22,0.46,1970,10
4.6,-3.94,1.69,0.46,1970,11
5.72,2.92,1,0.42,1970,12
4.84,7.36,1.33,0.38,1971,1
1.41,1.86,-1.23,0.33,1971,2
4.13,2.62,-3.95,0.3,1971,3
3.15,-0.49,0.69,0.28,1971,4
-3.98,-1.04,-1.44,0.29,1971,5
-0.1,-1.47,-1.87,0.37,1971,6
-4.5,-1.48,0.02,0.4,1971,7
3.79,-0.17,2.63,0.47,1971,8
-0.85,0.51,-2.91,0.37,1971,9
-4.42,-1.76,-0.48,0.37,1971,10
-0.46,-2.77,-1.68,0.37,1971,11
8.71,3.29,-0.4,0.37,1971,12
2.49,5.85,2.24,0.29,1972,1
2.87,1.3,-2.79,0.25,1972,2
0.63,-0.24,-1.61,0.27,1972,3
0.29,0.11,0.12,0.29,1972,4
1.25,-2.69,-2.7,0.3,1972,5
-2.43,0.27,-2.48,0.29,1972,6
-0.8,-2.87,0.66,0.31,1972,7
3.26,-4.03,4.54,0.29,1972,8
-1.14,-2.65,0.46,0.34,1972,9
0.52,-2.73,1.34,0.4,1972,10
4.6,-1.2,4.85,0.37,1972,11
0.62,-1.95,-2.19,0.37,1972,12
-3.29,-3.49,2.68,0.44,1973,1
-4.85,-3.87,1.6,0.41,1973,2
-1.3,-2.82,2.62,0.46,1973,3
-5.68,-3.85,5.41,0.52,1973,4
-2.94,-6.3,0.41,0.51,1973,5
-1.57,-2.86,1.2,0.51,1973,6
5.05,7.97,-5.31,0.64,1973,7
-3.82,-2.13,1.24,0.7,1973,8
4.75,3.04,2.01,0.68,1973,9
-0.83,-0.45,1.94,0.65,1973,10
-12.75,-7.67,3.87,0.56,1973,11
0.61,-5.35,3.85,0.64,1973,12
-0.17,9.68,6.02,0.63,1974,1
-0.47,-0.18,2.81,0.58,1974,2
-2.81,2.6,-0.32,0.56,1974,3
-5.29,-0.74,0.85,0.75,1974,4
-4.68,-2.96,-2.02,0.75,1974,5
-2.83,-0.17,0.77,0.6,1974,6
-8.05,0.84,5.16,0.7,1974,7
-9.35,-0.73,2.64,0.6,1974,8
-11.77,0.27,5.58,0.81,1974,9
16.1,-3.46,-9.87,0.51,1974,10
-4.51,-1.21,-0.2,0.54,1974,11
-3.45,-4.83,0.11,0.7,1974,12
13.66,11.14,8.28,0.58,1975,1
5.56,0.16,-4.44,0.43,1975,2
2.66,3.78,2.38,0.41,1975,3
4.23,-0.65,-1.14,0.44,1975,4
5.19,3.83,-4.1,0.44,1975,5
4.83,0.87,1.38,0.41,1975,6
-6.59,2.7,1.69,0.48,1975,7
-2.85,-3.25,-0.95,0.48,1975,8
-4.26,-0.1,0.39,0.53,1975,9
5.31,-4.03,0.28,0.56,1975,10
2.64,-1.2,2.03,0.41,1975,11
-1.6,-0.78,1.69,0.48,1975,12
12.16,4.81,8.63,0.47,1976,1
0.32,7.06,5.87,0.34,1976,2
2.32,-1.16,-0.12,0.4,1976,3
-1.49,-0.11,-0.16,0.42,1976,4
-1.34,-1.23,-1.36,0.37,1976,5
4.05,-1.32,0.71,0.43,1976,6
-1.07,0.29,1.73,0.47,1976,7
-0.56,-2,0.81,0.42,1976,8
2.07,-0.02,-0.29,0.44,1976,9
-2.42,0.22,-0.18,0.41,1976,10
0.36,2.32,1.51,0.4,1976,11
5.65,3.03,2.27,0.4,1976,12
-4.05,4.76,4.27,0.36,1977,1
-1.94,1.04,0.47,0.35,1977,2
-1.37,1,1.09,0.38,1977,3
0.15,-0.12,3.38,0.38,1977,4
-1.45,1.18,0.85,0.37,1977,5
4.71,2.09,-0.74,0.4,1977,6
-1.69,2.16,-0.56,0.42,1977,7
-1.75,1.48,-2.7,0.44,1977,8
-0.27,1.34,-0.52,0.43,1977,9
-4.38,1.25,1.75,0.49,1977,10
4,3.73,0.26,0.5,1977,11
0.27,1.32,-0.29,0.49,1977,12
-6.01,2.24,3.36,0.49,1978,1
-1.38,3.59,0.83,0.46,1978,2
2.85,3.49,1.18,0.53,1978,3
7.88,0.45,-3.54,0.54,1978,4
1.76,4.56,-0.52,0.51,1978,5
-1.69,1.66,0.57,0.54,1978,6
5.11,0.23,-1.15,0.56,1978,7
3.75,5.06,-0.51,0.56,1978,8
-1.43,-0.43,1.89,0.62,1978,9
-11.91,-9.86,1.38,0.68,1978,10
