Mkt-RF,SMB,HML,RF,year,month
0.36,-1.4,0.13,0.23,1926,9
-3.24,-0.09,0.7,0.32,1926,10
2.53,-0.1,-0.51,0.31,1926,11
2.62,-0.03,-0.05,0.28,1926,12
-0.06,-0.37,4.54,0.25,1927,1
4.18,0.04,2.94,0.26,1927,2
0.13,-1.65,-2.61,0.3,1927,3
0.46,0.3,0.81,0.25,1927,4
5.44,1.53,4.73,0.3,1927,5
-2.34,0.59,-1.73,0.26,1927,6
7.26,-3.25,-1.14,0.3,1927,7
1.97,-0.69,-3.74,0.28,1927,8
4.76,-3.63,-0.63,0.21,1927,9
-4.31,2.12,-4.33,0.25,1927,10
6.58,2.72,-0.27,0.21,1927,11
2.09,0.97,-1.13,0.22,1927,12
-0.68,4.26,-0.75,0.25,1928,1
-1.7,-2.06,-0.65,0.33,1928,2
8.81,-0.26,-1.22,0.29,1928,3
4.23,3.98,3.44,0.22,1928,4
1.52,2.85,-3.27,0.32,1928,5
-4.85,-3.52,-0.03,0.31,1928,6
0.62,-1.32,-0.5,0.32,1928,7
6.68,-2.06,-2.15,0.32,1928,8
2.88,2.41,0.86,0.27,1928,9
1.33,2.22,-2.16,0.41,1928,10
11.81,-1.78,2.7,0.38,1928,11
0.36,-0.86,-0.65,0.06,1928,12
4.66,-3.56,-1.24,0.34,1929,1
-0.34,-0.38,1.66,0.36,1929,2
-0.89,-4.71,1.58,0.34,1929,3
1.43,-0.97,0.59,0.36,1929,4
-6.39,-5.37,-1.42,0.44,1929,5
9.7,-2.17,-2.79,0.52,1929,6
4.46,-3.88,2.71,0.33,1929,7
8.18,-9.59,0.13,0.4,1929,8
-5.47,1.19,-0.65,0.35,1929,9
-20.12,-4.01,7.78,0.46,1929,10
-12.74,-1.72,5.05,0.37,1929,11
1.33,-4.5,-0.54,0.37,1929,12
5.61,3.55,-0.96,0.14,1930,1
2.5,0.19,0.2,0.3,1930,2
7.1,3.41,0.33,0.35,1930,3
-2.06,-0.35,-0.35,0.21,1930,4
-1.66,-2.01,-0.73,0.26,1930,5
-16.27,-3.38,2.33,0.27,1930,6
4.12,-0.28,-1.75,0.2,1930,7
0.3,-2.1,-0.61,0.09,1930,8
-12.75,-2.21,-4.96,0.22,1930,9
-8.78,-0.12,-1.38,0.09,1930,10
-3.04,2.23,-3.66,0.13,1930,11
-7.83,-4.6,-5.25,0.14,1930,12
6.24,3.45,7.12,0.15,1931,1
10.88,3.59,1.92,0.04,1931,2
-6.43,2.98,-3.44,0.13,1931,3
-9.98,-4.45,-3.82,0.08,1931,4
-13.24,5.35,-6.57,0.09,1931,5
13.9,-5.32,11.29,0.08,1931,6
-6.62,1.42,-2.11,0.06,1931,7
0.41,-1.95,-1.47,0.03,1931,8
-29.13,0.54,-6.77,0.03,1931,9
8.04,-1.87,1.7,0.1,1931,10
-9.08,4.31,-5.04,0.17,1931,11
-13.53,-0.55,-8.85,0.12,1931,12
-1.58,3.93,9.03,0.23,1932,1
5.46,-2.78,-1.46,0.23,1932,2
-11.21,2.27,-2.32,0.16,1932,3
-17.96,1.45,1.43,0.11,1932,4
-20.51,3.91,-2.98,0.06,1932,5
-0.7,0.33,5.3,0.02,1932,6
33.84,-4.59,35.61,0.03,1932,7
37.06,13.41,34.24,0.03,1932,8
-2.94,-2.08,-7.36,0.03,1932,9
-13.17,-2.56,-10.33,0.02,1932,10
-5.88,2,-13.11,0.02,1932,11
4.4,-8.64,-7.72,0.01,1932,12
1.25,0.63,6.36,0.01,1933,1
-15.24,-2.58,-2.95,-0.03,1933,2
3.29,3.79,7.54,0.04,1933,3
38.85,3.07,19.65,0.1,1933,4
21.43,36.56,19.19,0.04,1933,5
13.11,8.42,-1.78,0.02,1933,6
-9.63,-1.05,3.27,0.02,1933,7
12.05,-5.39,3,0.03,1933,8
-10.65,-0.4,-11.74,0.02,1933,9
-8.36,-0.2,-8.57,0.01,1933,10
9.97,-6.47,2.32,0.02,1933,11
1.83,0.63,-1.56,0.02,1933,12
12.6,12.69,15.59,0.05,1934,1
-2.5,5.1,2,0.02,1934,2
0.09,2.51,-2.7,0.02,1934,3
-1.79,2.73,-3.73,0.01,1934,4
-7.25,-0.29,-5.89,0.01,1934,5
2.64,-2.23,-2.96,0.01,1934,6
-10.96,-6.95,-10.7,0.01,1934,7
5.58,5.37,0.09,0.01,1934,8
-0.23,-1.52,-1.2,0.01,1934,9
-1.66,1.24,-5.08,0.01,1934,10
8.33,6.48,-2.15,0.01,1934,11
0.36,3.06,-3.14,0.01,1934,12
-3.45,1.07,-1.9,0.01,1935,1
-1.94,0.37,-7.44,0.02,1935,2
-3.68,-3.59,-5.12,0.01,1935,3
9.06,-1.47,4.47,0.01,1935,4
3.47,-3.34,2.65,0.01,1935,5
5.93,-2.57,-1.69,0.01,1935,6
7.51,1.88,6.93,0.01,1935,7
2.65,6.2,6.08,0.01,1935,8
2.63,1.53,-4.07,0.01,1935,9
7.03,2.72,-2.37,0.01,1935,10
4.88,4.54,12.06,0.02,1935,11
4.56,0.17,0.95,0.01,1935,12
6.89,5.23,10.34,0.01,1936,1
2.49,0.95,4.51,0.01,1936,2
0.99,0.69,-1.44,0.02,1936,3
-8.14,-6.06,-2.15,0.02,1936,4
5.19,0.91,2.61,0.02,1936,5
2.4,-3.2,-1.2,0.03,1936,6
6.67,1,2.4,0.01,1936,7
0.99,0.6,3.82,0.02,1936,8
