Mom,year,month
0.57,1951,11
1.68,1951,12
1.35,1952,1
-0.68,1952,2
1.59,1952,3
-2.06,1952,4
0.51,1952,5
1.48,1952,6
-0.57,1952,7
0.34,1952,8
1.7,1952,9
2.82,1952,10
0.48,1952,11
1.59,1952,12
0.71,1953,1
0.88,1953,2
0.07,1953,3
1.91,1953,4
0.94,1953,5
0,1953,6
-0.25,1953,7
2.12,1953,8
2.85,1953,9
0.21,1953,10
1.9,1953,11
5.21,1953,12
-5.83,1954,1
1.04,1954,2
2.04,1954,3
4.97,1954,4
-1.9,1954,5
3.51,1954,6
0.48,1954,7
-0.66,1954,8
1.56,1954,9
0.95,1954,10
1.9,1954,11
-1.33,1954,12
1.36,1955,1
1.09,1955,2
1.04,1955,3
0.07,1955,4
0.51,1955,5
4.62,1955,6
-1.21,1955,7
1.79,1955,8
1.82,1955,9
-0.6,1955,10
2.7,1955,11
-1.35,1955,12
-1.4,1956,1
1.96,1956,2
3.6,1956,3
2.58,1956,4
-1.61,1956,5
2.73,1956,6
2.5,1956,7
-0.69,1956,8
-0.75,1956,9
2.43,1956,10
3.41,1956,11
3.82,1956,12
-3.09,1957,1
0.32,1957,2
-0.18,1957,3
1,1957,4
0.48,1957,5
0.79,1957,6
-0.07,1957,7
0.47,1957,8
0.53,1957,9
1.95,1957,10
1.27,1957,11
7.82,1957,12
-7.62,1958,1
3.73,1958,2
-1.88,1958,3
1.84,1958,4
-1.8,1958,5
-0.88,1958,6
-3.7,1958,7
0.21,1958,8
-1.1,1958,9
3.15,1958,10
1.58,1958,11
-0.63,1958,12
-0.26,1959,1
3.45,1959,2
0.16,1959,3
3.17,1959,4
1.49,1959,5
2.9,1959,6
-0.3,1959,7
-1,1959,8
0.93,1959,9
3.71,1959,10
2.23,1959,11
1.03,1959,12
-3.54,1960,1
3.92,1960,2
1.38,1960,3
2.84,1960,4
4.79,1960,5
0.86,1960,6
-0.81,1960,7
1.91,1960,8
0.32,1960,9
1.25,1960,10
3.78,1960,11
1.41,1960,12
-4,1961,1
0.98,1961,2
4.54,1961,3
3.6,1961,4
-1.57,1961,5
0.33,1961,6
0.27,1961,7
1.59,1961,8
0.82,1961,9
3.11,1961,10
1.35,1961,11
-2.21,1961,12
-2.03,1962,1
-1.01,1962,2
1.84,1962,3
2.91,1962,4
0.41,1962,5
6.46,1962,6
0.52,1962,7
-0.6,1962,8
3.95,1962,9
0.76,1962,10
-7.16,1962,11
5.89,1962,12
-2.11,1963,1
2.53,1963,2
1.62,1963,3
-0.09,1963,4
0.33,1963,5
1.21,1963,6
0.9,1963,7
1.01,1963,8
0.19,1963,9
3.12,1963,10
-0.74,1963,11
1.75,1963,12
0.86,1964,1
0.26,1964,2
0.75,1964,3
-0.58,1964,4
2.57,1964,5
0.46,1964,6
-0.35,1964,7
-0.22,1964,8
-0.41,1964,9
0.08,1964,10
1.03,1964,11
-0.74,1964,12
-1.44,1965,1
0.32,1965,2
0.15,1965,3
2.63,1965,4
0.6,1965,5
-3.13,1965,6
4.1,1965,7
2.58,1965,8
3.3,1965,9
3.46,1965,10
4.45,1965,11
0.12,1965,12
5.39,1966,1
4.57,1966,2
1.42,1966,3
6.28,1966,4
-4.7,1966,5
3.25,1966,6
-1.34,1966,7
-2.14,1966,8
-1.84,1966,9
-5.26,1966,10
5.72,1966,11
1.06,1966,12
-6.93,1967,1
3.52,1967,2
1.53,1967,3
0.59,1967,4
0.72,1967,5
6,1967,6
-1.07,1967,7
-1.38,1967,8
2.52,1967,9
3.67,1967,10
1.26,1967,11
3.25,1967,12
-4.7,1968,1
-3.43,1968,2
3.23,1968,3
5.09,1968,4
3.8,1968,5
-1.9,1968,6
-0.88,1968,7
1.89,1968,8
-0.65,1968,9
-1.46,1968,10
1.75,1968,11
-0.01,1968,12
-0.17,1969,1
-2.36,1969,2
3.97,1969,3
1.13,1969,4
1.7,1969,5
-2.3,1969,6
1.71,1969,7
2.17,1969,8
2.52,1969,9
-4.31,1969,10
3.66,1969,11
4.96,1969,12
0.6,1970,1
0.23,1970,2
-0.36,1970,3
-0.77,1970,4
-2.78,1970,5
5.7,1970,6
-3.14,1970,7
-6.55,1970,8
-8.8,1970,9
9.42,1970,10
2.73,1970,11
-2.23,1970,12
-6.51,1971,1
0.79,1971,2
-1.41,1971,3
1.41,1971,4
0.86,1971,5
2.73,1971,6
-2.35,1971,7
3.61,1971,8
2.12,1971,9
0.47,1971,10
1.51,1971,11
-0.58,1971,12
0.17,1972,1
2.54,1972,2
2.94,1972,3
2.81,1972,4
3.29,1972,5
1.9,1972,6
2.75,1972,7
-5.4,1972,8
1.82,1972,9
0.71,1972,10
-5.09,1972,11
4.92,1972,12
3.73,1973,1
2.16,1973,2
3.59,1973,3
6.36,1973,4
7.14,1973,5
4.3,1973,6
-11.57,1973,7
3.46,1973,8
-7,1973,9
6.87,1973,10
8.66,1973,11
10.38,1973,12
-8.85,1974,1
0.32,1974,2
-1.05,1974,3
2.11,1974,4
-0.39,1974,5
2.31,1974,6
3.11,1974,7
3,1974,8
4.24,1974,9
-0.54,1974,10
2.13,1974,11
2.92,1974,12
-13.82,1975,1
-0.61,1975,2
-2.04,1975,3
1.38,1975,4
-0.58,1975,5
0.04,1975,6
0.42,1975,7
-0.1,1975,8
0.41,1975,9
-0.16,1975,10
-0.45,1975,11
-0.11,1975,12
4.45,1976,1
0.38,1976,2
0.15,1976,3
0.59,1976,4
-1.12,1976,5
-0.42,1976,6
-0.13,1976,7
-0.85,1976,8
0.22,1976,9
-0.44,1976,10
2.91,1976,11
0.73,1976,12
4,1977,1
0.36,1977,2
0.55,1977,3
4.21,1977,4
2.03,1977,5
1.66,1977,6
0.32,1977,7
-1.7,1977,8
2,1977,9
-0.08,1977,10
2.01,1977,11
1.58,1977,12
-0.66,1978,1
1.97,1978,2
1.37,1978,3
0.86,1978,4
2.83,1978,5
2.74,1978,6
4.17,1978,7
2.83,1978,8
-3.14,1978,9
-8.46,1978,10
5.45,1978,11
3.03,1978,12
-1.36,1979,1
-1.06,1979,2
2.93,1979,3
0.81,1979,4
-0.54,1979,5
0.84,1979,6
-1.07,1979,7
-0.2,1979,8
5.28,1979,9
2.01,1979,10
8.14,1979,11
4.78,1979,12
7.55,1980,1
7.88,1980,2
-9.55,1980,3
-0.43,1980,4
-1.12,1980,5
1.62,1980,6
0.39,1980,7
3.21,1980,8
5.39,1980,9
7.3,1980,10
15.22,1980,11
-6.68,1980,12
-7.95,1981,1
-1.35,1981,2
0.74,1981,3
-0.91,1981,4
3.7,1981,5
-5.81,1981,6
-2.45,1981,7
-1.15,1981,8
1.95,1981,9
4.01,1981,10
-0.27,1981,11
1.3,1981,12
1.72,1982,1
4.88,1982,2
2.96,1982,3
-0.4,1982,4
2.5,1982,5
4.96,1982,6
4.45,1982,7
-3.52,1982,8
4.19,1982,9
0.18,1982,10
5.95,1982,11
0.04,1982,12
-1.73,1983,1
3.77,1983,2
0.92,1983,3
1.72,1983,4
-1.56,1983,5
1.8,1983,6
-3.13,1983,7
-5.65,1983,8
-0.03,1983,9
-4.52,1983,10
-0.13,1983,11
0.84,1983,12
-2.56,1984,1
0.22,1984,2
1.07,1984,3
2.07,1984,4
1.51,1984,5
-0.7,1984,6
2.85,1984,7
-5.59,1984,8
3.62,1984,9
3.16,1984,10
1.64,1984,11
1.49,1984,12
-6.82,1985,1
1.88,1985,2
1.58,1985,3
3.04,1985,4
3.99,1985,5
3.57,1985,6
-3.91,1985,7
1.85,1985,8
1.51,1985,9
4.88,1985,10
-0.47,1985,11
-0.23,1985,12
3,1986,1
2.76,1986,2
2.41,1986,3
-0.37,1986,4
2.05,1986,5
5.07,1986,6
1.83,1986,7
-5.28,1986,8
-5.79,1986,9
4.46,1986,10
-0.26,1986,11
0.35,1986,12
2.2,1987,1
-2.07,1987,2
1.68,1987,3
0.22,1987,4
-0.74,1987,5
-0.25,1987,6
2.72,1987,7
-0.86,1987,8
0.77,1987,9
-7.86,1987,10
-1.17,1987,11
5.87,1987,12
-7.24,1988,1
-1.47,1988,2
0.58,1988,3
2.24,1988,4
0.63,1988,5
-2.93,1988,6
0.66,1988,7
0.35,1988,8
0.27,1988,9
1.33,1988,10
0.33,1988,11
0.49,1988,12
-0.16,1989,1
0.99,1989,2
3.51,1989,3
1.77,1989,4
1.52,1989,5
0.43,1989,6
5.41,1989,7
-0.12,1989,8
3.4,1989,9
1.32,1989,10
2.6,1989,11
2.8,1989,12
-3.27,1990,1
-0.55,1990,2
1.8,1990,3
2.39,1990,4
3.03,1990,5
2.4,1990,6
6.1,1990,7
1.88,1990,8
5.78,1990,9
6.71,1990,10
-5.48,1990,11
0.29,1990,12
-6.45,1991,1
-4.61,1991,2
2.87,1991,3
-2.36,1991,4
-0.11,1991,5
0.47,1991,6
4.32,1991,7
1.57,1991,8
1.79,1991,9
3.06,1991,10
1.14,1991,11
8.19,1991,12
-2.49,1992,1
-0.53,1992,2
-0.29,1992,3
-2.58,1992,4
0.21,1992,5
-0.58,1992,6
1.56,1992,7
-0.51,1992,8
1.49,1992,9
2.48,1992,10
-0.15,1992,11
4.31,1992,12
4.83,1993,1
3.14,1993,2
3.73,1993,3
0.38,1993,4
0.22,1993,5
4.55,1993,6
3.16,1993,7
2.65,1993,8
3.37,1993,9
-2.72,1993,10
-4.74,1993,11
2.36,1993,12
0,1994,1
-0.3,1994,2
-1.27,1994,3
0.39,1994,4
-2.19,1994,5
-0.87,1994,6
0.18,1994,7
1.55,1994,8
1.31,1994,9
1.49,1994,10
-0.18,1994,11
3.48,1994,12
-1.81,1995,1
-0.39,1995,2
0.43,1995,3
1.79,1995,4
-0.42,1995,5
2.93,1995,6
2.56,1995,7
0.16,1995,8
2.9,1995,9
4.16,1995,10
-0.68,1995,11
2.52,1995,12
0.54,1996,1
0.59,1996,2
-1.84,1996,3
-0.88,1996,4
1.54,1996,5
0.98,1996,6
-0.16,1996,7
0.01,1996,8
2.7,1996,9
3.79,1996,10
-2.37,1996,11
0.63,1996,12
1.96,1997,1
-2.13,1997,2
0.9,1997,3
4.84,1997,4
-5.17,1997,5
2.6,1997,6
3.77,1997,7
-2.56,1997,8
1.47,1997,9
-0.57,1997,10
0.33,1997,11
3.98,1997,12
0.14,1998,1
-1.12,1998,2
2.15,1998,3
0.74,1998,4
1.82,1998,5
7.28,1998,6
3.69,1998,7
1.84,1998,8
-0.81,1998,9
-5.37,1998,10
1.2,1998,11
8.92,1998,12
3.03,1999,1
-0.1,1999,2
-1.27,1999,3
-9.04,1999,4
-5.19,1999,5
5.06,1999,6
1.66,1999,7
3.12,1999,8
6.47,1999,9
5.5,1999,10
5.64,1999,11
13.22,1999,12
1.92,2000,1
18.2,2000,2
-6.83,2000,3
-8.39,2000,4
-8.98,2000,5
16.6,2000,6
-0.05,2000,7
5.73,2000,8
1.97,2000,9
-4.48,2000,10
-2.32,2000,11
6.74,2000,12
-25.3,2001,1
12.57,2001,2
8.55,2001,3
-7.9,2001,4
2.21,2001,5
0.38,2001,6
5.58,2001,7
5.53,2001,8
11.48,2001,9
-8.47,2001,10
-8.69,2001,11
0.07,2001,12
3.75,2002,1
6.82,2002,2
-1.64,2002,3
7.63,2002,4
3.16,2002,5
6.03,2002,6
3.77,2002,7
1.9,2002,8
9.13,2002,9
-5.58,2002,10
-16.33,2002,11
9.64,2002,12
1.55,2003,1
1.17,2003,2
1.48,2003,3
-9.33,2003,4
-10.7,2003,5
-1,2003,6
-0.24,2003,7
-0.62,2003,8
-0.19,2003,9
3.99,2003,10
1.46,2003,11
-5.57,2003,12
2.58,2004,1
-1.14,2004,2
0.17,2004,3
-5.38,2004,4
1.5,2004,5
2.05,2004,6
-2.29,2004,7
-1.59,2004,8
5.49,2004,9
-1.38,2004,10
3.16,2004,11
-2.87,2004,12
3.05,2005,1
3.37,2005,2
0.41,2005,3
-0.69,2005,4
0.45,2005,5
2.05,2005,6
0.06,2005,7
2.08,2005,8
3.43,2005,9
-1.39,2005,10
0.35,2005,11
0.77,2005,12
2.53,2006,1
-1.84,2006,2
1.26,2006,3
0.64,2006,4
-3.7,2006,5
1.54,2006,6
-2.12,2006,7
-3.38,2006,8
-0.96,2006,9
-0.2,2006,10
-1.03,2006,11
0.79,2006,12
0.24,2007,1
-1.35,2007,2
2.56,2007,3
-0.24,2007,4
-0.34,2007,5
0.51,2007,6
2.94,2007,7
0.1,2007,8
4.63,2007,9
5.02,2007,10
0.99,2007,11
6.63,2007,12
-7.75,2008,1
6.1,2008,2
4.27,2008,3
-0.31,2008,4
3.31,2008,5
12.75,2008,6
-5.13,2008,7
-4.02,2008,8
0.28,2008,9
7.85,2008,10
7.17,2008,11
-5.09,2008,12
-2.18,2009,1
4.41,2009,2
-11.87,2009,3
-34.3,2009,4
-12.49,2009,5
5.48,2009,6
-5.55,2009,7
-9.07,2009,8
-4.79,2009,9
2.61,2009,10
0.3,2009,11
3.01,2009,12
-5.4,2010,1
3.74,2010,2
3.76,2010,3
3.16,2010,4
-0.25,2010,5
-2.76,2010,6
1.88,2010,7
-0.06,2010,8
1.41,2010,9
1.58,2010,10
2.66,2010,11
-3.03,2010,12
-0.29,2011,1
1.99,2011,2
3.4,2011,3
0.04,2011,4
-0.62,2011,5
1.78,2011,6
0.18,2011,7
-0.28,2011,8
-2.42,2011,9
-1.43,2011,10
3.84,2011,11
1.81,2011,12
-7.91,2012,1
-0.29,2012,2
1.3,2012,3
3.75,2012,4
6.49,2012,5
-1.06,2012,6
3.04,2012,7
-2.37,2012,8
-1.14,2012,9
0.14,2012,10
0.49,2012,11
-2.86,2012,12
-1.79,2013,1
1.29,2013,2
1.92,2013,3
0.22,2013,4
-2.02,2013,5
0.52,2013,6
1.76,2013,7
0.02,2013,8
3.06,2013,9
0.08,2013,10
0.44,2013,11
0.02,2013,12
1.71,2014,1
2.07,2014,2
-3.29,2014,3
-3.89,2014,4
0.87,2014,5
0.69,2014,6
-0.12,2014,7
0.82,2014,8
0.5,2014,9
-0.06,2014,10
0.69,2014,11
1.12,2014,12
3.84,2015,1
-2.82,2015,2
2.74,2015,3
-7.27,2015,4
5.82,2015,5
3.01,2015,6
9.98,2015,7
-2.09,2015,8
5.22,2015,9
-3.28,2015,10
2.28,2015,11
3.36,2015,12
1.44,2016,1
-4.38,2016,2
-5.01,2016,3
-6.02,2016,4
1.42,2016,5
4.13,2016,6
-3.34,2016,7
-3.49,2016,8
0.19,2016,9
0.59,2016,10
-4.62,2016,11
-0.26,2016,12
-0.93,2017,1
-1.65,2017,2
-1.02,2017,3
0.48,2017,4
1.48,2017,5
-0.09,2017,6
1.68,2017,7
3.26,2017,8
-1.32,2017,9
4.27,2017,10
-0.87,2017,11
-1.54,2017,12
4.05,2018,1
3.58,2018,2
-1.13,2018,3
0.36,2018,4
3.89,2018,5
-2.35,2018,6
-1.41,2018,7
5.29,2018,8
0.04,2018,9
-1.99,2018,10
-1.37,2018,11
2.11,2018,12
-8.68,2019,1
0.86,2019,2
2.21,2019,3
-2.97,2019,4
7.56,2019,5
-2.3,2019,6
2.89,2019,7
6.92,2019,8
-6.81,2019,9
0.15,2019,10
-2.66,2019,11
-1.77,2019,12
5.98,2020,1
-0.4,2020,2
7.97,2020,3
-5.23,2020,4
0.43,2020,5
-0.73,2020,6
7.61,2020,7
0.55,2020,8
3.12,2020,9
-3.05,2020,10
-12.43,2020,11
-2.32,2020,12
4.5,2021,1
-7.89,2021,2
-6.14,2021,3
1.16,2021,4
0.88,2021,5
2.2,2021,6
-2.28,2021,7
2.45,2021,8
1.49,2021,9
3.19,2021,10
0.88,2021,11
-2.6,2021,12
-2.6,2022,1
1.76,2022,2
3.01,2022,3
4.87,2022,4
2.43,2022,5
0.75,2022,6
-3.95,2022,7
2.04,2022,8
3.51,2022,9
3.96,2022,10
-1.98,2022,11
4.55,2022,12
-16.01,2023,1
0.15,2023,2
-2.47,2023,3
1.62,2023,4
-0.63,2023,5
-2.37,2023,6
-3.98,2023,7
3.77,2023,8
0.26,2023,9
1.72,2023,10
2.75,2023,11
-5.51,2023,12
5.19,2024,1
4.96,2024,2
-0.42,2024,3
24.06,19,27
29.12,19,28
21.12,19,29
25.68,19,30
23.81,19,31
-21.75,19,32
19.26,19,33
18.56,19,34
23.36,19,35
5.84,19,36
-4.5,19,37
-2.64,19,38
0.34,19,39
5.8,19,40
9.23,19,41
-15.38,19,42
14.86,19,43
10.63,19,44
15.1,19,45
5.55,19,46
14.35,19,47
11.6,19,48
0.64,19,49
15.7,19,50
11.66,19,51
9.12,19,52
16.24,19,53
10.21,19,54
13.91,19,55
19.12,19,56
9.92,19,57
-9.73,19,58
